Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-13 00:00:00-04:00,606.7974141219295,607.857049815442,595.4276268450205,600.5827026367188,710500,0.0,0.0
2021-04-14 00:00:00-04:00,606.8354409639485,612.009627013351,598.5969005902043,602.3677368164062,718000,0.0,0.0
2021-04-15 00:00:00-04:00,605.0313656985574,613.7376720601474,599.0553139413186,612.9644165039062,980400,0.0,0.0
2021-04-16 00:00:00-04:00,611.217316998196,618.5489392239464,609.5180312167641,616.4010009765625,605200,0.0,0.0
2021-04-19 00:00:00-04:00,608.7161095510548,610.2626202821447,594.2151388186867,601.5276489257812,1138900,0.0,0.0
2021-04-20 00:00:00-04:00,597.6327736150561,599.3128895711416,584.9838049077669,588.955078125,988000,0.0,0.0
2021-04-21 00:00:00-04:00,608.7926304493295,626.0907505579286,607.0838468424564,625.756591796875,2160900,0.0,0.0
2021-04-22 00:00:00-04:00,634.0426202617696,635.6655183480399,611.4272181682534,617.7374267578125,1233400,0.0,0.0
2021-04-23 00:00:00-04:00,629.3171946780641,640.8301988028887,628.5057747043693,640.4769287109375,1109600,0.0,0.0
2021-04-26 00:00:00-04:00,636.7061337573531,645.0019501099508,636.7061337573531,640.0282592773438,801000,0.0,0.0
2021-04-27 00:00:00-04:00,639.9233458209304,644.2287781681694,631.7706893219093,642.2908325195312,678200,0.0,0.0
2021-04-28 00:00:00-04:00,634.3100251007858,640.4292367066336,631.2838351656974,635.15966796875,571300,0.0,0.0
2021-04-29 00:00:00-04:00,636.0663713236368,636.3909742071304,624.391155494715,632.42919921875,504300,0.0,0.0
2021-04-30 00:00:00-04:00,624.5918877592112,631.0643120628166,616.4106217788762,618.7017211914062,575200,0.0,0.0
2021-05-03 00:00:00-04:00,629.6925510098,630.0467848840295,620.1185361708414,626.55224609375,672000,1.87,0.0
2021-05-04 00:00:00-04:00,608.5914799746878,611.9998274523712,589.6732143480478,602.2056274414062,1505800,0.0,0.0
2021-05-05 00:00:00-04:00,614.6518097834635,624.206658781471,608.7350750753366,614.5369262695312,948200,0.0,0.0
2021-05-06 00:00:00-04:00,611.1382185822573,617.179420725309,603.096021256395,616.8922119140625,618200,0.0,0.0
2021-05-07 00:00:00-04:00,624.0153760665985,633.1202181401112,620.1187437108082,630.51611328125,573700,0.0,0.0
2021-05-10 00:00:00-04:00,620.6835054932263,621.0090477801122,599.8313270191279,600.539794921875,882700,0.0,0.0
2021-05-11 00:00:00-04:00,589.8742627624667,606.6670656089015,588.4285770124161,603.7948608398438,891200,0.0,0.0
2021-05-12 00:00:00-04:00,588.8020106473836,593.3113934241208,574.6899197743384,576.2409057617188,1107700,0.0,0.0
2021-05-13 00:00:00-04:00,595.1592411195068,601.9663535744537,585.7479655041624,596.5474853515625,1436100,0.0,0.0
2021-05-14 00:00:00-04:00,603.2970914603889,623.402526167208,598.7685419071827,620.16650390625,1331000,0.0,0.0
2021-05-17 00:00:00-04:00,604.9726444173847,608.9841603431477,596.7485371488743,608.2852172851562,929400,0.0,0.0
